,Unnamed: 0,AsOfDate,Term,Houston Zone,West Zone,South Zone,North Zone,Peak,Region,asofmonth
590526,181925,2020-04-01,2028-08-01,68.8406,63.0822,62.3219,56.5447,Monthly,OTC Global Holdings,4
590527,181926,2020-04-01,2028-09-01,33.9766,24.4127,20.3278,21.2762,Monthly,OTC Global Holdings,4
590528,181927,2020-04-01,2028-10-01,23.2828,16.5427,16.5023,16.8801,Monthly,OTC Global Holdings,4
590529,181928,2020-04-01,2028-11-01,23.0645,16.2999,16.1253,16.61,Monthly,OTC Global Holdings,4
590530,181929,2020-04-01,2028-12-01,23.8786,16.7855,16.7761,16.9162,Monthly,OTC Global Holdings,4
590531,181930,2020-04-01,2029-01-01,28.6197,24.3387,22.7953,20.4285,Monthly,OTC Global Holdings,4
590532,181931,2020-04-01,2029-02-01,28.1331,24.1072,22.4811,20.0471,Monthly,OTC Global Holdings,4
590533,181932,2020-04-01,2029-03-01,22.345,15.1951,19.7998,17.7528,Monthly,OTC Global Holdings,4
590534,181933,2020-04-01,2029-04-01,20.7486,13.7593,18.4401,16.4214,Monthly,OTC Global Holdings,4
590535,181934,2020-04-01,2029-05-01,23.3177,16.1765,19.286,18.1365,Monthly,OTC Global Holdings,4
590536,181935,2020-04-01,2029-06-01,36.0895,22.8166,22.5371,22.0884,Monthly,OTC Global Holdings,4
590537,181936,2020-04-01,2029-07-01,51.347,43.4707,43.0245,40.1089,Monthly,OTC Global Holdings,4
590538,181937,2020-04-01,2029-08-01,68.8571,60.8158,58.6703,55.4313,Monthly,OTC Global Holdings,4
590539,181938,2020-04-01,2029-09-01,33.7741,22.9789,20.2474,20.1702,Monthly,OTC Global Holdings,4
590540,181939,2020-04-01,2029-10-01,23.4048,15.701,16.9291,16.1784,Monthly,OTC Global Holdings,4
590541,181940,2020-04-01,2029-11-01,23.0227,15.375,16.5722,15.8659,Monthly,OTC Global Holdings,4
590542,181941,2020-04-01,2029-12-01,23.7557,15.9128,17.1007,16.063,Monthly,OTC Global Holdings,4
590543,181942,2020-04-01,2030-01-01,28.7677,24.0391,23.4108,20.3762,Monthly,OTC Global Holdings,4
590544,181943,2020-04-01,2030-02-01,28.8835,24.7457,23.067,20.2755,Monthly,OTC Global Holdings,4
590545,181944,2020-04-01,2030-03-01,22.6872,15.4664,19.8786,17.8533,Monthly,OTC Global Holdings,4
590600,68380,2020-04-02,2022-07-01,72.176,67.8331,70.0212,70.4989,Monthly,OTC Global Holdings,4
590601,505132,2020-04-02,2022-07-01,28.7042,27.6703,28.5479,28.7597,Monthly,OTC Global Holdings,4
590602,68381,2020-04-02,2022-08-01,118.5306,115.1998,116.6463,118.171,Monthly,OTC Global Holdings,4
590603,505133,2020-04-02,2022-08-01,31.7651,30.9542,31.5488,31.8413,Monthly,OTC Global Holdings,4
590604,68382,2020-04-02,2022-09-01,37.2103,34.0414,34.5917,35.2497,Monthly,OTC Global Holdings,4
590605,505134,2020-04-02,2022-09-01,21.0475,18.2831,19.1919,18.9086,Monthly,OTC Global Holdings,4
590606,68383,2020-04-02,2022-10-01,26.2936,21.4008,23.2423,23.6589,Monthly,OTC Global Holdings,4
590607,505135,2020-04-02,2022-10-01,19.0776,14.8068,17.1205,17.1102,Monthly,OTC Global Holdings,4
590608,68384,2020-04-02,2022-11-01,23.9738,19.1029,20.9364,21.3012,Monthly,OTC Global Holdings,4
590609,505136,2020-04-02,2022-11-01,18.0634,13.7783,16.1549,16.0838,Monthly,OTC Global Holdings,4
590610,68385,2020-04-02,2022-12-01,24.4523,19.571,21.3844,21.781,Monthly,OTC Global Holdings,4
590611,505137,2020-04-02,2022-12-01,18.9885,14.7959,17.0301,17.0097,Monthly,OTC Global Holdings,4
590612,68386,2020-04-02,2023-01-01,28.3157,27.8363,28.1305,29.0083,Monthly,OTC Global Holdings,4
590613,505138,2020-04-02,2023-01-01,21.6639,18.0293,19.7674,20.2041,Monthly,OTC Global Holdings,4
590614,68387,2020-04-02,2023-02-01,27.9128,27.5437,27.8985,28.7235,Monthly,OTC Global Holdings,4
590615,505139,2020-04-02,2023-02-01,21.1981,17.5225,19.2611,19.6977,Monthly,OTC Global Holdings,4
590616,68388,2020-04-02,2023-03-01,24.9958,18.7806,23.1475,22.9163,Monthly,OTC Global Holdings,4
590617,505140,2020-04-02,2023-03-01,18.9947,11.9083,16.846,16.7263,Monthly,OTC Global Holdings,4
590618,68389,2020-04-02,2023-04-01,22.502,15.9906,20.7849,20.2273,Monthly,OTC Global Holdings,4
590619,505141,2020-04-02,2023-04-01,17.9099,10.7972,16.1161,15.643,Monthly,OTC Global Holdings,4
590620,68390,2020-04-02,2023-05-01,24.5417,19.4087,23.3373,22.9271,Monthly,OTC Global Holdings,4
590621,505142,2020-04-02,2023-05-01,17.5799,11.7361,16.5444,16.1121,Monthly,OTC Global Holdings,4
590622,68391,2020-04-02,2023-06-01,35.901,32.4246,33.4089,34.0803,Monthly,OTC Global Holdings,4
590623,505143,2020-04-02,2023-06-01,20.0776,14.711,18.853,18.6634,Monthly,OTC Global Holdings,4
590624,68392,2020-04-02,2023-07-01,72.2922,70.6101,68.6843,69.4398,Monthly,OTC Global Holdings,4
590625,505144,2020-04-02,2023-07-01,31.3281,26.7025,29.2394,28.6277,Monthly,OTC Global Holdings,4
590626,68393,2020-04-02,2023-08-01,92.713,92.0868,88.6489,90.0126,Monthly,OTC Global Holdings,4
590627,505145,2020-04-02,2023-08-01,34.008,29.4061,31.7184,31.1572,Monthly,OTC Global Holdings,4
590628,68394,2020-04-02,2023-09-01,35.35,32.5502,32.7999,33.2873,Monthly,OTC Global Holdings,4
590629,505146,2020-04-02,2023-09-01,18.7106,15.4187,17.1028,18.2527,Monthly,OTC Global Holdings,4
590630,68395,2020-04-02,2023-10-01,23.8792,19.2215,21.7578,21.3788,Monthly,OTC Global Holdings,4
590631,505147,2020-04-02,2023-10-01,18.2184,12.9994,16.5197,16.5716,Monthly,OTC Global Holdings,4
590632,68396,2020-04-02,2023-11-01,23.7108,19.0881,21.6767,21.2516,Monthly,OTC Global Holdings,4
590633,505148,2020-04-02,2023-11-01,17.3354,12.0638,15.7068,15.5974,Monthly,OTC Global Holdings,4
590634,68397,2020-04-02,2023-12-01,24.244,19.8383,22.3687,21.9771,Monthly,OTC Global Holdings,4
590635,505149,2020-04-02,2023-12-01,18.8236,13.5419,17.1039,17.0753,Monthly,OTC Global Holdings,4
590636,68398,2020-04-02,2024-01-01,31.3552,28.225,27.6862,29.7566,Monthly,OTC Global Holdings,4
590637,505150,2020-04-02,2024-01-01,21.1305,18.1791,20.4466,20.6987,Monthly,OTC Global Holdings,4
590638,68399,2020-04-02,2024-02-01,30.9013,27.8413,27.333,29.3801,Monthly,OTC Global Holdings,4
590639,505151,2020-04-02,2024-02-01,20.7052,17.6427,19.9813,20.2028,Monthly,OTC Global Holdings,4
590640,68400,2020-04-02,2024-03-01,24.5589,17.7022,22.4597,22.3679,Monthly,OTC Global Holdings,4
590641,505152,2020-04-02,2024-03-01,18.7941,12.0782,17.4765,16.7187,Monthly,OTC Global Holdings,4
590642,68401,2020-04-02,2024-04-01,22.6252,15.5822,20.5563,20.3233,Monthly,OTC Global Holdings,4
590643,505153,2020-04-02,2024-04-01,17.6939,10.7899,16.3574,15.4887,Monthly,OTC Global Holdings,4
590644,68402,2020-04-02,2024-05-01,25.2319,18.5392,22.7932,22.928,Monthly,OTC Global Holdings,4
590645,505154,2020-04-02,2024-05-01,17.713,12.3925,16.9103,15.9512,Monthly,OTC Global Holdings,4
590646,68403,2020-04-02,2024-06-01,34.2867,28.7743,30.3399,32.2739,Monthly,OTC Global Holdings,4
590647,505155,2020-04-02,2024-06-01,19.5989,14.7836,18.2415,19.117,Monthly,OTC Global Holdings,4
590648,68404,2020-04-02,2024-07-01,63.7146,60.6181,56.9372,60.2598,Monthly,OTC Global Holdings,4
590649,505156,2020-04-02,2024-07-01,27.068,25.0718,27.3595,26.6976,Monthly,OTC Global Holdings,4
590650,68405,2020-04-02,2024-08-01,86.3504,84.5946,78.2133,83.0927,Monthly,OTC Global Holdings,4
590651,505157,2020-04-02,2024-08-01,29.5376,27.9265,29.8584,29.2178,Monthly,OTC Global Holdings,4
590652,68406,2020-04-02,2024-09-01,35.8544,30.6484,30.8192,32.0845,Monthly,OTC Global Holdings,4
590653,505158,2020-04-02,2024-09-01,19.5501,17.1245,18.525,18.2821,Monthly,OTC Global Holdings,4
590654,68407,2020-04-02,2024-10-01,22.7519,17.9562,20.3337,20.9532,Monthly,OTC Global Holdings,4
590655,505159,2020-04-02,2024-10-01,17.8683,13.4443,16.9344,15.4813,Monthly,OTC Global Holdings,4
590656,68408,2020-04-02,2024-11-01,22.632,17.7616,20.2012,20.7746,Monthly,OTC Global Holdings,4
590657,505160,2020-04-02,2024-11-01,16.7825,11.8829,15.5668,14.1026,Monthly,OTC Global Holdings,4
590658,68409,2020-04-02,2024-12-01,23.3953,18.5714,20.9329,21.5611,Monthly,OTC Global Holdings,4
590659,505161,2020-04-02,2024-12-01,18.1403,13.5223,16.9639,15.5402,Monthly,OTC Global Holdings,4
590660,68410,2020-04-02,2025-01-01,30.1049,27.4782,27.2991,29.6318,Monthly,OTC Global Holdings,4
590661,505162,2020-04-02,2025-01-01,23.0394,18.1354,22.3107,21.3555,Monthly,OTC Global Holdings,4
590662,68411,2020-04-02,2025-02-01,29.6211,27.1347,27.0062,29.296,Monthly,OTC Global Holdings,4
590663,505163,2020-04-02,2025-02-01,22.5539,17.5987,21.795,20.8295,Monthly,OTC Global Holdings,4
590664,68412,2020-04-02,2025-03-01,23.6705,17.3047,21.7214,22.1386,Monthly,OTC Global Holdings,4
590665,505164,2020-04-02,2025-03-01,19.1516,11.3425,17.7181,16.6394,Monthly,OTC Global Holdings,4
590666,68413,2020-04-02,2025-04-01,21.8478,15.485,20.0489,20.3567,Monthly,OTC Global Holdings,4
590667,505165,2020-04-02,2025-04-01,17.6191,9.8418,16.247,15.1077,Monthly,OTC Global Holdings,4
590668,68414,2020-04-02,2025-05-01,23.2741,17.1619,21.175,21.6192,Monthly,OTC Global Holdings,4
590669,505166,2020-04-02,2025-05-01,18.1019,11.3656,17.2133,16.3467,Monthly,OTC Global Holdings,4
590670,68415,2020-04-02,2025-06-01,37.9013,28.9295,30.9742,32.2144,Monthly,OTC Global Holdings,4
