,Unnamed: 0,AsOfDate,Term,Houston Zone,West Zone,South Zone,North Zone,Peak,Region,asofmonth
547862,264235,2019-09-05,2021-03-01,20.8374,14.2366,18.1498,17.7419,Monthly,OTC Global Holdings,9
547863,391291,2019-09-05,2021-03-01,28.2569,21.9135,25.5328,25.3186,Monthly,OTC Global Holdings,9
547864,264236,2019-09-05,2021-04-01,19.5514,12.9692,16.9035,16.4547,Monthly,OTC Global Holdings,9
547865,391292,2019-09-05,2021-04-01,26.2128,19.8487,23.5695,23.264,Monthly,OTC Global Holdings,9
547866,264237,2019-09-05,2021-05-01,20.1916,14.4197,17.829,17.413,Monthly,OTC Global Holdings,9
547867,391293,2019-09-05,2021-05-01,29.8349,23.5336,26.7357,26.6438,Monthly,OTC Global Holdings,9
547868,264238,2019-09-05,2021-06-01,21.8016,17.332,19.2489,19.2286,Monthly,OTC Global Holdings,9
547869,391294,2019-09-05,2021-06-01,40.4903,36.2955,37.676,37.877,Monthly,OTC Global Holdings,9
548086,140147,2019-09-06,2020-07-01,32.5973,29.4188,29.5508,29.8047,Monthly,OTC Global Holdings,9
548087,595776,2019-09-06,2020-07-01,116.7004,111.3893,112.3645,112.1002,Monthly,OTC Global Holdings,9
548088,140148,2019-09-06,2020-08-01,38.3037,35.6127,35.2979,35.8463,Monthly,OTC Global Holdings,9
548089,595777,2019-09-06,2020-08-01,191.275,185.9844,188.3674,186.6952,Monthly,OTC Global Holdings,9
548090,140149,2019-09-06,2020-09-01,22.1683,19.8519,20.7358,20.5936,Monthly,OTC Global Holdings,9
548091,595778,2019-09-06,2020-09-01,41.685,38.759,39.5257,39.328,Monthly,OTC Global Holdings,9
548092,140150,2019-09-06,2020-10-01,19.0758,15.2952,17.5717,17.4091,Monthly,OTC Global Holdings,9
548093,595779,2019-09-06,2020-10-01,28.1005,23.9744,26.2584,25.9765,Monthly,OTC Global Holdings,9
548094,140151,2019-09-06,2020-11-01,18.4321,14.6014,16.9181,16.7148,Monthly,OTC Global Holdings,9
548095,595780,2019-09-06,2020-11-01,24.5287,20.3322,22.7091,22.3542,Monthly,OTC Global Holdings,9
548096,140152,2019-09-06,2020-12-01,20.2477,16.7836,19.0019,18.8398,Monthly,OTC Global Holdings,9
548097,595781,2019-09-06,2020-12-01,24.9881,20.8352,23.1467,22.8509,Monthly,OTC Global Holdings,9
548098,140153,2019-09-06,2021-01-01,22.4582,19.4705,20.5121,20.9977,Monthly,OTC Global Holdings,9
548099,595782,2019-09-06,2021-01-01,30.4621,28.6575,28.6169,29.8474,Monthly,OTC Global Holdings,9
548100,140154,2019-09-06,2021-02-01,21.8663,18.8804,19.9517,20.4066,Monthly,OTC Global Holdings,9
548101,595783,2019-09-06,2021-02-01,30.3603,28.5569,28.4949,29.746,Monthly,OTC Global Holdings,9
548102,140155,2019-09-06,2021-03-01,20.9106,14.3441,18.2375,17.8325,Monthly,OTC Global Holdings,9
548103,595784,2019-09-06,2021-03-01,28.4604,22.1314,25.5558,25.5281,Monthly,OTC Global Holdings,9
548104,140156,2019-09-06,2021-04-01,19.5142,13.0014,16.8948,16.4517,Monthly,OTC Global Holdings,9
548105,595785,2019-09-06,2021-04-01,26.2582,19.9414,23.3889,23.3308,Monthly,OTC Global Holdings,9
548106,140157,2019-09-06,2021-05-01,20.189,14.454,17.8426,17.4299,Monthly,OTC Global Holdings,9
548107,595786,2019-09-06,2021-05-01,29.9095,23.6369,26.5323,26.7323,Monthly,OTC Global Holdings,9
548108,140158,2019-09-06,2021-06-01,21.7806,17.3393,19.2468,19.2263,Monthly,OTC Global Holdings,9
548109,595787,2019-09-06,2021-06-01,40.5165,36.3463,37.2358,37.9174,Monthly,OTC Global Holdings,9
548326,21070,2019-09-07,2020-07-01,32.5973,29.4188,29.5508,29.8047,Monthly,OTC Global Holdings,9
548327,478427,2019-09-07,2020-07-01,116.7004,111.3893,112.3645,112.1002,Monthly,OTC Global Holdings,9
548328,21071,2019-09-07,2020-08-01,38.3037,35.6127,35.2979,35.8463,Monthly,OTC Global Holdings,9
548329,478428,2019-09-07,2020-08-01,191.275,185.9844,188.3674,186.6952,Monthly,OTC Global Holdings,9
548330,21072,2019-09-07,2020-09-01,22.1683,19.8519,20.7358,20.5936,Monthly,OTC Global Holdings,9
548331,478429,2019-09-07,2020-09-01,41.685,38.759,39.5257,39.328,Monthly,OTC Global Holdings,9
548332,21073,2019-09-07,2020-10-01,19.0758,15.2952,17.5717,17.4091,Monthly,OTC Global Holdings,9
548333,478430,2019-09-07,2020-10-01,28.1005,23.9744,26.2584,25.9765,Monthly,OTC Global Holdings,9
548334,21074,2019-09-07,2020-11-01,18.4321,14.6014,16.9181,16.7148,Monthly,OTC Global Holdings,9
